0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0.25
1.2,0.5
1.3,0.75
1.4,1
1.5,1.25
1.6,1.5
1.7,1.75
1.8,2
1.9,2.25
2,2.5
2.1,2.75
2.2,3
2.3,3.25
2.4,3.5
2.5,3.75
2.6,4
2.7,4.25
2.8,4.5
2.9,4.75
3,5
3.1,5
3.2,5
3.3,5
3.4,5
3.5,5
3.6,5
3.7,5
3.8,5
3.9,5
4,5
4.1,5
4.2,5
4.3,5
4.4,5
4.5,5
4.6,5
4.7,5
4.8,5
4.9,5
5,5
5.1,5
5.2,5
5.3,5
5.4,5
5.5,5
5.6,5
5.7,5
5.8,5
5.9,5
6,5
6.1,5
6.2,5
6.3,5
6.4,5
6.5,5
6.6,5
6.7,5
6.8,5
6.9,5
7,5
7.1,5
7.2,5
7.3,5
7.4,5
7.5,5
7.6,5
7.7,5
7.8,5
7.9,5
8,5
8.1,4.85
8.2,4.7
8.3,4.55
8.4,4.4
8.5,4.25
8.6,4.1
8.7,3.95
8.8,3.8
8.9,3.65
9,3.5
9.1,3.35
9.2,3.2
9.3,3.05
9.4,2.9
9.5,2.75
9.6,2.6
9.7,2.45
9.8,2.3
9.9,2.15
10,2
10.1,2
10.2,2
10.3,2
10.4,2
10.5,2
10.6,2
10.7,2
10.8,2
10.9,2
11,2
11.1,2
11.2,2
11.3,2
11.4,2
11.5,2
11.6,2
11.7,2
11.8,2
11.9,2
12,2
